EmployeeID,EmployeeCode,Gender,Age,Department,JobRole,MonthlySalary,HireDate,YearsAtCompany,PerformanceRating,JobSatisfaction,Attrition,Education,Overtime,City
1,EMP0001,Male,35,Operations,Coordinator,5786,2026-03-11,0,1,5,Yes,High School,No,Kyiv
2,EMP0002,Male,56,Sales,Sales Rep,6757,2020-04-02,6,5,4,No,Master,No,Kyiv
3,EMP0003,Female,30,IT,Support,7027,2013-02-08,13,3,1,Yes,Master,Yes,Ternopil
4,EMP0004,Male,45,HR,HR Specialist,4791,2024-12-06,1,5,3,No,Master,Yes,Kyiv
5,EMP0005,Male,27,Sales,Sales Rep,9727,2017-06-21,9,3,4,No,Bachelor,No,Ternopil
6,EMP0006,Male,59,IT,Support,13903,2017-08-06,8,2,5,No,Bachelor,No,Gdansk
7,EMP0007,Male,23,HR,HR Specialist,16689,2016-07-03,10,3,4,No,Bachelor,Yes,Ternopil
8,EMP0008,Female,30,IT,Support,7839,2011-01-12,15,2,2,No,High School,No,Gdansk
9,EMP0009,Male,53,Marketing,Marketing Specialist,11585,2015-04-11,11,1,1,Yes,Bachelor,Yes,Gdansk
10,EMP0010,Female,54,Marketing,Marketing Specialist,7619,2014-01-18,12,5,1,Yes,High School,No,Ternopil
11,EMP0011,Female,21,Sales,Sales Manager,15330,2013-05-13,13,3,5,No,High School,Yes,Ternopil
12,EMP0012,Male,55,Operations,Coordinator,16257,2022-01-20,4,5,1,No,Master,No,Kyiv
13,EMP0013,Male,36,Sales,Sales Manager,17885,2017-03-31,9,5,1,Yes,High School,No,Kyiv
14,EMP0014,Female,56,Marketing,Marketing Specialist,6205,2021-08-27,4,3,5,No,Master,Yes,Lviv
15,EMP0015,Female,49,Operations,Coordinator,11979,2013-08-23,12,4,1,No,Bachelor,Yes,Ternopil
16,EMP0016,Male,25,Sales,Sales Rep,15097,2008-04-12,18,1,2,Yes,Bachelor,No,Kyiv
17,EMP0017,Female,34,Marketing,Marketing Specialist,12334,2017-08-23,8,2,5,No,Master,Yes,Gdansk
18,EMP0018,Female,43,Finance,Accountant,10439,2023-06-11,3,4,4,Yes,High School,Yes,Kyiv
19,EMP0019,Male,33,Finance,Financial Analyst,12286,2023-03-25,3,4,2,No,Bachelor,No,Gdansk
20,EMP0020,Male,24,IT,Data Analyst,14184,2011-10-25,14,5,1,Yes,Bachelor,Yes,Gdansk
21,EMP0021,Male,31,Finance,Financial Analyst,9709,2020-01-07,6,1,4,No,Master,No,Gdansk
22,EMP0022,Female,34,Operations,Coordinator,4458,2022-04-24,4,5,5,Yes,High School,No,Kyiv
23,EMP0023,Male,24,Sales,Sales Manager,11820,2009-11-04,16,1,2,Yes,High School,Yes,Lviv
24,EMP0024,Male,60,Finance,Accountant,4843,2008-03-29,18,4,5,No,High School,No,Ternopil
25,EMP0025,Female,46,IT,Support,5644,2016-03-31,10,3,4,No,Bachelor,Yes,Gdansk
26,EMP0026,Male,53,Marketing,Marketing Specialist,7845,2023-10-28,2,2,3,Yes,Bachelor,No,Ternopil
27,EMP0027,Female,60,IT,BI Developer,16723,2008-08-07,17,5,1,No,Master,Yes,Lviv
28,EMP0028,Male,38,HR,HR Specialist,8116,2022-10-20,3,5,2,No,Bachelor,No,Gdansk
29,EMP0029,Female,38,HR,HR Specialist,4222,2023-09-09,2,1,3,No,High School,No,Lviv
30,EMP0030,Female,56,Operations,Coordinator,3658,2008-08-06,17,1,1,No,High School,Yes,Ternopil
31,EMP0031,Male,40,Marketing,Marketing Specialist,9474,2013-05-28,13,1,3,No,High School,Yes,Kyiv
32,EMP0032,Male,31,HR,HR Specialist,16605,2007-05-16,19,2,4,Yes,Bachelor,No,Gdansk
33,EMP0033,Male,45,Operations,Coordinator,17789,2018-05-11,8,1,4,No,Bachelor,No,Ternopil
34,EMP0034,Male,46,HR,HR Specialist,8878,2019-07-19,7,3,1,No,Master,No,Ternopil
35,EMP0035,Female,23,Sales,Sales Rep,5276,2018-05-01,8,5,4,No,High School,No,Gdansk
36,EMP0036,Male,37,Marketing,Marketing Specialist,4227,2013-10-10,12,4,1,No,High School,Yes,Ternopil
37,EMP0037,Female,28,Finance,Accountant,15292,2015-09-16,10,3,5,No,High School,No,Ternopil
38,EMP0038,Male,47,Finance,Financial Analyst,14394,2009-05-29,17,4,2,No,High School,No,Gdansk
